name,url,category,title,description,author,upload_date,full_transcript
Ankle Joint,https://cloud.butterflynetwork.com/-/edu/K-KJ9DeNSlaOBMH5HzdktA,Soft Tissue/MSK,Ankle Joint,An introduction to an ultrasound evaluation of the ankle joint. ,Adwana Clayton,5/11/2022,"Let's perform a localisation of the ankle joint in order to perform an injection under ultrasound guidance with the butterfly. The first thing I'll do is make sure I'm in the appropriate preset. I'll press the preset button and ensure that the musculoskeletal option is selected. I'll ask my patient to lie flat on her back, bend her knee so the foot is flat on the examination table. When I place the probe on the skin, it's important that the blue dot is facing towards the patient's head. When I place the probe on the skin, you'll notice that the tibia is on the left hand side of the screen, the side of the blue dot, and the talus is on the right hand side of the screen. I'll swipe down or up to make sure that the anatomy is in the centre of the screen, and I'll swipe right or left to make sure that the joint is anechoic and easy to see in the centre. When I do the injection, it's important to introduce the needle at the line of the mark on the side of the butterfly. This will ensure that the needle will be in the direct centre of the screen, which is in the centre of the joint, and look like an echogenic dot as it comes towards me in short access. And that's how you perform a localisation of the ankle joint in order to perform an injection under ultrasound guidance using the butterfly. [BLANK_AUDIO]"
Peroneal Subluxation ,https://cloud.butterflynetwork.com/-/edu/xIFUUTfASg2iNa9K4A0YCQ,Soft Tissue/MSK,Peroneal Subluxation ,How to use ultrasound to assess for peroneal subluxation,Adwana Clayton,5/11/2022,"Let's use Butterfly to help you confirm perineal subluxation with patients who exhibit clicking in their ankle. The first thing I'm going to do is ensure that I'm in the appropriate preset. I do so by pressing the preset button and ensuring that the musculoskeletal option is selected. I'll ask my patient to roll up onto her side so the affected side is up. I use a small towel or pillow underneath the ankle in order to elevate and also allow room for inversion. When I place the probe across the ankle in the short axis, it's important that the blue indicator marker is facing towards me. That way the blue dot on the screen will delineate the anterior portion of the foot. As I place the probe down, I'll go ahead and swipe down to make sure that the anatomy is in the centre of the screen. I'll then go ahead and swipe right or left to ensure that the gain or brightness of the image is also appropriate for the study. You'll notice on the left hand side of the screen I see an echogenic curved surface. This is the head of the fibula. Behind the fibula you'll see two echogenic circles, one above the other. The circle above is the perineus longus. The circle below is perineus brevis. You'll see perineus brevis attaching to its muscle below and deep. The way I remember this is longus on top, brevis is below near the bone. If you turn your eye to the first few millimetres of tissue, you'll notice a linear striation which is the retinaculum. This is the typical location for the investigation of subluxation using ultrasound. As I hold my probe steady, I'll ask the patient to rotate their ankle and invert. I'm checking the dynamic manoeuvre between the longus and brevis and making sure that that's an appropriate relationship. That there's no overly click to that relationship and they stay relatively stagnant in their movement. And that's how we help to rule out perineal subluxation as the cause for a clicking ankle using the butterfly. [BLANK_AUDIO]"
Metatarsal stress fracture assessment,https://cloud.butterflynetwork.com/-/edu/8ixhuM1wSBayaTkxWyyipA,Soft Tissue/MSK,Metatarsal stress fracture assessment,How to use ultrasound to assess for metatarsal stress fractures ,Adwana Clayton,5/11/2022,"Let's use the butterfly to help you detect a stress fracture. The first thing I'll do is ensure I'm in the correct preset. I do so by pressing the preset button and checking that the musculoskeletal option is selected. I ask my patient to lie flat on her back with her knee bent, such that her foot is flat against the examination table. As I place my probe, you'll notice that the blue dot is facing towards the patient's head. As I place the probe down, I swipe down here to bring the cortical line of the metatarsal into view. This is shown by the bright echogenic line across the image. I then go ahead and adjust my gain by swiping right or left to ensure that the cortical margin is clear and distinct. I then slide my probe all the way along the metatarsal. You'll notice that the bone is echogenic, flat and continuous. This is very typical of a cortical line that's normal. As you reach the area of the metatarsal where the patient has pain, gently press to confirm her in the appropriate area. What we're looking for here is a dark area surrounding that echogenic line that's typical of hyperimia. We're also looking for a typical step down appearance where the bone breaks and then continues along its course. These signs are typical for stress fracture in the metatarsal. And that's how we use the butterfly to help detect a stress fracture. [BLANK_AUDIO]"
Tarsal Tunnel,https://cloud.butterflynetwork.com/-/edu/UfnwWrKNQjmbPf-fo77Jqw,Soft Tissue/MSK,Tarsal Tunnel,An ultrasound exam of the tarsal tunnel,Adwana Clayton,5/11/2022,"Here's how to help you localise structures in the TASL tunnel using the butterfly. The first thing I'll do is make sure I'm in the appropriate preset. I do that by pressing the preset button and making sure that the musculoskeletal option is selected. I'll ask my patient to roll up onto her side such that the medial compartment is facing up. You'll notice I've placed a small towel underneath the ankle to help elevate it and make sure the foot is inverted. As I place the probe down, it's important that the blue marker is facing towards me. This means that the blue marker on the screen will indicate the posterior aspect of the ankle. I place the probe down across the short axis of the ankle and I swipe down to make sure that the anatomy is in the centre of the screen. I can also swipe right or left to make sure that the overall brightness or gain of the image is appropriate for the study. The structures of the TASL tunnel will start anteriorly with the posterior tibial tendon which is that echogenic area just above the bony structure. Moving posterior from there, you'll then see the FDL, the flexidigitorum longus, next to the PTT. In posterior and inferior to that, you'll see a number of anechoic structures. If, if you lift your probe's pressure, you'll notice blinking of the posterior tibial veins as they compress, but the consistency of the round structure of the artery in the centre. Post-irior to that, you'll see the typical honeycomb appearance of the posterior tibial nerve. If you keep an inferior to that, you'll see flexidigitorum longus tucked in posteriorly. The shorthand typical way of speaking about the tendons in the TASL tunnel from anterior and posterior is tom, dick and harry. PTT, FDL, FHL. And that's how you localise structures using the butterfly within the TASL tunnel. [BLANK_AUDIO]"
Anterior Talo-Fibular Ligament ,https://cloud.butterflynetwork.com/-/edu/aj-kJnzSQEatuLME1pJDkQ,Soft Tissue/MSK,Anterior Talo-Fibular Ligament ,How to use ultrasound to assess the anterior talo-fibular ligament (ATFL) for sprain post ankle inversion injury.,Adwana Clayton,5/10/2022,"Let's use the butterfly to help confirm a sprain of the ATFL in the incidence of an ankle inversion injury. The first thing I'll do is make sure that I'm in the right preset. I do so by pressing the preset button and ensuring the musculoskeletal option is selected. I'll ask my patient to roll up onto her hip such that the lateral ankle is exposed. I'll place a small towel underneath the ankle to elevate it and allow the foot to be inverted. This will ensure that the ATFL is taught and easier to interrogate. I'll go ahead and place my probe with the blue indicator button heading towards the patient's head and resting over the tailors. I'll then turn and rotate my probe about to the five o'clock position to make sure that the tailors and the fibula is in profile. I'll turn my head towards the clinical image and swipe down to ensure that anatomy is in the centre of the screen. I'll go ahead and swipe right or left to ensure that the appropriate brightness or gain allows me to see the anatomy well. You'll notice here there is a small area of anechoic fluid in the centre of the screen. This is fluid in the lateral gutter and can be helpful to identify the ATFL. If I were to measure the ligament, I would go ahead and press freeze and the linear measurement button like this. I'll use the blue dots to centre the crosshairs over the height of the ATFL. The ATFL should appear smooth, taut and echogenic. And that's how to use the butterfly to confirm ATFL's brain in the incidence of an inversion injury. [BLANK_AUDIO]"
Manual Bladder Volume,https://cloud.butterflynetwork.com/-/edu/zFp2wOo4RtCILEDBUKNdhg,Genitourinary,Manual Bladder Volume,An overview of how to calculate a manual bladder volume,Adwana Clayton,5/5/2022,"Let's walk through the steps for obtaining a manual bladder volume. First, we need to be in the correct preset, bladder, select. And the next thing we want to do is go to the Actions tab and activate our manual volume calculation. Once that's activated, we can go ahead and start scanning. I'm going to take my transducer, start in the transverse plane with the indicator towards the patient's right. When you put down the transducer, if you don't see the bladder itself, you're most likely a bit too superior. I'm going to go a little, just angle a bit down and slide down. You need to be almost to the level of the pugic synthesis, angling down into the pelvis. Slowly fanning up and down, inferior to superior. I'm going to find the area of the maximal width. Once I'm happy with my image, it's nice and centered on my screen, I can freeze, activate our measurements tool, and select the first diameter. Placing the calipers in order to find the width here. Confirm. Next, I'm going to go back to that measurements tool and select the second diameter. Place the calipers to get the depth and confirm. Save my image and then unfreeze. Rotating my transducer, so the indicators towards the patient's head, we can now see the sagittal. Again, I'm trying to center it on my screen, and fan left to right, coming back to center, freeze my image, go back to my measurements tool, select the third diameter, and measure from apex to base. Once I'm happy with that, I can confirm. And as you can see, on the bottom of the screen, we now have a volume. It appears there's just shy of 250 milliliters in this bladder at this time. And these are the steps for obtaining a manual bladder volume. [BLANK_AUDIO]"
M-Mode,https://cloud.butterflynetwork.com/-/edu/9bytuWkNRUqBg7xXI2rwPg,Intro,M-Mode,An overview of M-Mode imaging,Adwana Clayton,5/5/2022,M-mode or motion mode imaging is a useful tool for measuring fetal heart rate in a really pregnancy and is also used for cardiac measurements like E-point septal separation. Some users also like to use M-mode for certain long applications or for evaluating the inferior vena cava. How do we activate M-mode? We just go into the Actions tab and press M-mode. We'll get a vertical M-mode cursor or spike down the middle of the screen and I'm going to perform M-mode on the radial artery right here. So I'm going to center that over the spike and apply a little bit of pressure and now we can see on the top half the M-mode image that periodic repetitive pattern from the pulsations of the radial artery. The depth on this screen corresponds to the depth on the M-mode screen and if we want to do a measurement we can press the Annotations tab and select Line and we can measure the pulse by going peak to peak on one cycle and that'll get me the pulse which is currently 55 beats per minute. I can unfreeze at this point and if I want to return to standard imaging I can simply X out of M-mode and I'm back into B-mode imaging.
Echogenicities,https://cloud.butterflynetwork.com/-/edu/Z3ukwvJ3QUeLmpfSYAI1eQ,Intro,Echogenicities,This is an overview of the different echogenicities of structures seen on ultrasound,Adwana Clayton,5/5/2022,"Next, let's talk about echogenic structures. So the term echogenic just means that it generates echoes. And what generates echoes? Strong reflectors of ultrasound beams. So in this case, we're looking at an echogenic curved structure right here in the near field of the image. And that's my radius bone. So what happens is the ultrasound beam comes down and hits the bone. It's reflected strongly from the bone because ultrasound doesn't travel well through bone. And as a result, it's echogenic or bright white. We also see that the ultrasound doesn't penetrate the bone by noticing this acoustic shadow deep to the bone because the ultrasound can't get through. So what kinds of structures are echogenic? Well, the cortex of bones are echogenic. Stones, whether gallstones or renal stones are echogenic. A needle is echogenic on ultrasound. So during procedural guidance, a needle will appear white or echogenic. And then any time there's a strong reflection of ultrasound. So when you change between two very different tissue densities at the diaphragm, for example, between an air filled lung and the liver, which conducts ultrasound well, you'll have a strong reflection at the diaphragm. And that'll also be echogenic. So bones, stones, needles and strong reflectors will be echogenic structures will encounter while performing ultrasound exams."
Anechoic,https://cloud.butterflynetwork.com/-/edu/eIcE4cyZSXWHtMIwaOA_Kw,Intro,Anechoic,This video is an overview of structures that are anechoic on ultrasound,Adwana Clayton,5/5/2022,"Next, we're going to talk about anechoic structures. Anechoic simply means no echoes, or black, on an ultrasound image. And a structure looks black, or anechoic, if there's no echoes returning to the butterfly after sound waves have penetrated that structure. What structures allow sound waves to transmit without returning to the butterfly? Fluid. So in this case, we've got multiple circular anechoic structures in the near field at the top of this image. Those are my veins and my radial artery. And if I compress, I'm left with just one anechoic structure, the radial artery right there in the center. What other things look anechoic on ultrasound? Well, bile within the gallbladder, blood within the chambers of the heart, or within the larger vessels like the abdominal aorta, or vena cava. You're in within the bladder, or within a distended renal pelvis in someone with hydroenterphrosis. So anytime you're looking at a black or anechoic structure on ultrasound, that's a fluid-filled structure. And that can help you identify the anatomical area that you're investigating."
Echogenic,https://cloud.butterflynetwork.com/-/edu/lHg4rjHITHmMo5XGHu11Ig,Intro,Echogenic,This is an overview of the structures that appear echogenic on ultrasound,Adwana Clayton,5/5/2022,"Next, let's talk about echogenic structures. So the term echogenic just means that it generates echoes. And what generates echoes? Strong reflectors of ultrasound beams. So in this case, we're looking at an echogenic curved structure right here in the near field of the image. And that's my radius bone. So what happens is the ultrasound beam comes down and hits the bone. It's reflected strongly from the bone because ultrasound doesn't travel well through bone. And as a result, it's echogenic or bright white. We also see that the ultrasound doesn't penetrate the bone by noticing this acoustic shadow deep to the bone because the ultrasound can't get through. So what kinds of structures are echogenic? Well, the cortex of bones are echogenic. Stones, whether gallstones or renal stones are echogenic. A needle is echogenic on ultrasound. So during procedural guidance, a needle will appear white or echogenic. And then any time there's a strong reflection of ultrasound. So when you change between two very different tissue densities at the diaphragm, for example, between an air filled lung and the liver, which conducts ultrasound well, you'll have a strong reflection at the diaphragm. And that'll also be echogenic. So bones, stones, needles and strong reflectors will be echogenic structures will encounter while performing ultrasound exams."
Color,https://cloud.butterflynetwork.com/-/edu/w_485bjPTLKTjiwnL-T_5g,Intro,Color,An overview of color doppler imaging,Adwana Clayton,5/5/2022,"Let's talk about color and power Doppler. We use color and power Doppler to detect blood flow and in a point of care ultrasound setting that can be to determine if an anechoic structure is vascular or not it can be to look for inflammation in a musculoskeletal setting or to look at transvalvular flow in a cardiac setting. So how do we activate these modes? We press the Actions tab, select color Doppler and we're now getting directional color flow information off of the radial artery. I can change the velocity to high flow or low flow by tapping at the bottom and I can swipe right to increase color gain. I can swipe left to decrease color gain. To exit color Doppler I'm going to press the X next to color Doppler and to activate power Doppler I'll go back to the Actions tab, select power Doppler and power Doppler is going to give us the same information as color in the setting of detecting flow but it won't give us directional information. Power Doppler is really useful for low flow states to look for the presence or absence of flow but won't give us information about which direction the blood is flowing. To exit out there X next to power Doppler and I'm brought back to B mode and that's how you activate color and power Doppler. [BLANK_AUDIO]"
B-Mode Imaging,https://cloud.butterflynetwork.com/-/edu/KRTWIzBzTmyj-W1h-3Lm2A,Intro,B-Mode Imaging,An overview of B-Mode imaging,Adwana Clayton,5/5/2022,"B-mode or brightness mode imaging, also known as 2D or grayscale imaging, is what we all think of when we think of ultrasound. It's a varying degree of black, gray, and white that we see represented on a two-dimensional screen. B-mode is the workhorse of point-of-care ultrasound imaging. You're going to be able to perform 90 to 95 percent of point-of-care exams using B-mode alone, and as a result it's the default node that will launch when you open the scan screen in in the butterfly app. [BLANK_AUDIO]"
Transducer Pressure,https://cloud.butterflynetwork.com/-/edu/SYaC3-H2QCaMPX9gc74xaA,Intro,Transducer Pressure,An overview the importance of proper transducer pressure,Adwana Clayton,5/5/2022,"So we talk about applying pressure when doing ultrasound examinations and putting enough pressure on to get a good image. And when people first get started they're really uncomfortable with pressing hard. Yeah of course the last thing that you want to do is hurt your patient. 100%. So we're gonna take the opportunity to show you an appropriate amount of pressure and how it may be more than what you're anticipating in terms of what patients can tolerate and in terms of what I'll get you a good image. So let's take a look with the abdominal aorta. Sounds great. Go ahead here midline, put my transducer down and take a look to see if I can locate the the aorta. So I'm seeing a few hypoacolic areas that could be potentially the aorta here. Yeah and if I had to guess at this level I'd say we're probably gonna be down around 9, 10 centimeters here that's gonna be what we look at for the abdominal aorta and I'm pointing out that depth for a reason because Janet's not really applying pressure right now. She's applying enough pressure to make probe contact. We have good contact with the skin but we're not scanning the way either you or myself would scan during a real exam while we were trying to get a good look. Correct. So why don't you go ahead and show us what that pressure kind of looks like. And you can see how much pressure Janet's applying just by looking at the probe itself on the skin. But if you look at the image itself you've now got a really clear image of the abdominal aorta. We could probably even decrease we don't have to right now but could decrease the depth just to get a better image because we're now looking at the aorta at around 5 to 6 centimeters instead of 9 to 10 centimeters. So my math isn't great but that's about 4 centimeters of compression and patients tolerate this tremendously well. It's not painful sometimes you'll feel pressure but you're applying pressure. And I think that makes a huge difference in terms of getting a quality exam. For sure."
Storing Images and Clips,https://cloud.butterflynetwork.com/-/edu/N7zxV5wbSj65171e76TiFA,Intro,Storing Images and Clips,An overview of how to capture still images and clips using the Butterfly,Adwana Clayton,5/5/2022,"So saving clips and still images is integral to doing a point of care ultrasound exam. And we're going to demonstrate how to save still images and how to save clips, and we'll start with still images. So what are we looking at, Janet? Alright, so I'm here in the left upper quadrant with the indicator towards the patient's left shoulder, and we're looking through this plane down to the left kidney. So if we want to save a still image of the left kidney, we're going to press freeze. We are. Although I think I had it a little bit nicer just a couple of frames ago. So I've gone and I'm now scrolling back and through until I find a slice that I really like, and then I'm going to select that. Once that's done, I can hit the camera button and save my image. And that's showing up as a one in the exam reel, showing that we've saved one image thus far. That Cine tool records several seconds' worth of information up until that freeze. So you can sort of just hit freeze just a second too late from what you wanted to capture. That's where it really comes in handy as you can go ahead and scroll back. And then how about a video clip? Yeah, let's document that we've looked at the entirety of this kidney. So I'm going to fan medially until I'm all the way through the tissue. Then I'm going to hit the camera button and fan laterally all the way through. And by hitting stop, we're saving that clip. And that's a second image showing up in the exam reel. Clips can be anywhere from a second up to 60 seconds. Generally, I save clips in sort of the two to six second range, but if you have an institutional guideline around clip length, obviously follow that. The longer clips can be useful for procedures if you want to document the entire procedure under ultrasound guidance. And then most structures can be evaluated in images or still images or clips documented depending on what exam you're doing in your own practice. Certain things need to be done with clips. If you need to document motion, the best way to do that is with a clip. So that's going to be largely, you know, cardiac, you're going to want to document clips for your cardiac studies because structure and emotion are both integral to that particular type of exam. And that's how you save clips and still images with butterfly. [BLANK_AUDIO]"
Adjusting Depth,https://cloud.butterflynetwork.com/-/edu/cnKJtRnHTdCBQaMCp5sdRg,Intro,Adjusting Depth,An overview of how to adjust the depth on the Butterfly,Adwana Clayton,5/5/2022,"One of the most important controls to adjust when you're optimizing your ultrasound image is depth. Now depth corresponds to how deeply we're looking into tissue. At the top of the screen that corresponds to my skin and at the bottom of the screen that's deep into tissue and that's an adjustable parameter on butterfly. Now on the right we can see this scale in centimeters so we're looking three centimeters deep into the tissue. Let's pretend that I was looking to evaluate my median nerve which is this triangular hyperechoic structure in the center of the screen. This is a decent depth, it's okay. If I wanted to really optimize it I would swipe down to decrease my depth slightly and now I have the structure, the median nerve in this case, centered from top to bottom on the screen and that's what we're really looking to achieve. Now where are the pitfalls? Well if I swipe down all the way and decrease the depth to one centimeters I've now cut off the bottom portion or the deep portion of the median nerve in this case so I'm failing to fully evaluate the structure of interest and on the flip side if I swipe up and increase my depth to say 11 centimeters now the median nerve is all the way at the top I have scanned through my forearm and this curved structure is actually the other side of my arm so I have a lot of useless information that's corresponding to the air on the other side of my arm and I can't really get any good definition on the structure of interest because it's tiny and it's located all the way at the top in the near field so when you're setting an appropriate depth work on getting the structure of interest centered from top to bottom on the screen and that's a generally good guideline that'll help you obtain high quality images for interpretation. [BLANK_AUDIO]"
Adjusting Gain,https://cloud.butterflynetwork.com/-/edu/mQ4KvcIhSXKFYncVdw2JeQ,Intro,Adjusting Gain,An overview of how to adjust the gain on the Butterfly,Adwana Clayton,5/5/2022,"Gain is one of the key controls we'll want to adjust in order to optimize our ultrasound image. And there really isn't a perfect gain setting. Gain is pretty subjective. Some people like to have the gain set a little bit on the higher side like here. So it's a bright image but I can tell the nerve in the center of the screen from the fascia here from the muscle here. Or some people might want to scan with a slightly lower gain and especially in a more dimly lit room. You may scan with a lower gain versus a higher gain in a brighter room. I adjust gain as we're seeing by swiping left and right. And it's just important to know that if you swipe too far left and really decrease the gain you're gonna have a hard time identifying structures. And if you swipe too far to the right and increase the gain past a certain threshold, everything's gonna start to look too hypericolic or too echogenic and you're gonna have a hard time differentiating one structure from another adjacent structure. Additionally, if you increase the gain too much you may cause false echoes to appear in an otherwise anechoic structure so that can give you confusing information. So I would recommend scanning somewhere towards the middle range. You can adjust to your own taste but that's how you operate gain to optimize your image and get accurate information."
Choosing the Right Preset,https://cloud.butterflynetwork.com/-/edu/X7B7vGSlRSaffWV0kRPYOA,Intro,Choosing the Right Preset,An overview of how to choose the correct preset for your exam,Adwana Clayton,5/5/2022,"Because we can use butterfly to scan the entire body, we need to make sure that we're choosing the appropriate preset so that the images adjusted and optimized for the structures that we're evaluating. We can tap the preset button here and see that I'm in a musculoskeletal soft tissue preset. And if I stay in that preset, we can see that we're able to evaluate bone, muscle, nerve, tendon, and this is an appropriate preset for the image that I'm evaluating right now. Now if we wanted to look at the vessels with a little more clarity up at the top of the screen there, I'd want to switch into a vascular preset and I can change to vascular access in this case and decrease my depth a little bit. And we can see very clear definition of the radial artery because we're now in the appropriate preset. Now minor adjustments like vascular and musculoskeletal for a given exam may help us get a better look at a specific structure anatomically that we want to investigate but it's also really important to make sure we're not in a completely inappropriate preset. Some of the preset functionality could be you know really taste-based or subjective where you might want to look with musculoskeletal soft tissue versus musculoskeletal. But you definitely wouldn't want to look at a musculoskeletal study with something like a cardiac preset. And we can see that when we change into that preset we have really an uninterpretable image even if I were to decrease depth maximally. I can't see the artery, the vein, tendon, nerve, muscle, etc. because I'm in the inappropriate preset. So changing presets will optimize the gain, depth, frequency and really get us the appropriate image so that we can get clear answers to the clinical questions we're asking as we're performing ultrasound."
Orientation,https://cloud.butterflynetwork.com/-/edu/YXB51GkdQCOFeOlMh0DOww,Intro,Orientation,An introduction to transducer and anatomic orientation,Adwana Clayton,5/5/2022,"So one of the first fundamental principles we want to review is orientation. How do you tell what direction on the imaging screen correlates to the patient in front of you and where you're looking anatomically? So let's get started with that. The easiest direction to understand on the screen is the skin surface. That's always going to be the top of the screen and where you're applying the butterfly. So if I go ahead and apply it to my forearm here, the top of the screen corresponds to the skin right here where I'm applying the butterfly. Now if you think of the butterfly as a flashlight, instead of shooting light, it's shooting sound, the deeper you go on the screen is the further you're shooting sound into the tissue. So further away from the skin surface is going to be the bottom of the screen. So that's the top and the bottom of the screen, but how do we tell the left from the right? That's where the directional indicator comes in. There's only one blue dot on the butterfly. So if we turn all the way around, there are blue lines that mark the center, which can be useful for procedural guidance, but there's only one blue dot and that's the directional indicator. There's also only one blue B on the screen. So that blue dot corresponds to that side of the image where the blue B is located. If I go ahead and place the butterfly on my skin, I have the blue dot oriented towards the radial side of my forearm. If I slide towards the blue dot, I'm sliding radially and that's the radius. If I slide away from the blue dot, I'm sliding to the other side of the forearm or the ulnar side of the forearm and in fact that's my ulnar over there. So that's left and right towards the indicator, away from the indicator and skin surface and deep into tissue for top and bottom. If you're ever sliding left or right and you think the image is moving in a way you don't anticipate, just double check that you have the directional indicator oriented in the way you expected. [BLANK_AUDIO]"
Gel and the Butterfly,https://cloud.butterflynetwork.com/-/edu/nJboBY3PSfiVmLHRPxZtNw,Intro,Gel and the Butterfly,An overview of the importance of gel when using the Butterfly,Adwana Clayton,5/5/2022,"So let's talk about ultrasound gel. Now ultrasound gel is really important because it removes air between the butterfly and the skin and allows sound to travel into tissues so we can get an image we can interpret. If we're not using gel and we just place the butterfly on the skin, I don't really see anything. You know if I have a little bit of dried gel there so I might get an old image if I press really hard but you won't get a good image for interpretation if you don't have gel on the patient. So how much gel to use? Well you know you want to use enough that you get a clear image and you don't want to use so much that you're slipping and sliding all over the place because the skin surface is over gelled. So just enough you'll learn really quickly what a good amount of gel is and I'd like to have enough where I'm able to kind of slide up and down the area of interest without having to regel because I only used a tiny bit. Now I'm using bottle gel for this demonstration. Many institutions have guidelines around using individual gel packets to reduce nosocomial spread of infection so definitely follow your institutional practices when it comes to individual gel packets versus a gel bottle. And then lastly around gel I would just say that if you're trying to evaluate an oddly shaped area of the body or a really painful structure like an abscess or a very tender area of cellulitis you can build a gel bridge. So just pile up a bunch of gel like I just did and you can place the butterfly onto that while not really putting any real pressure on the skin itself and this black area at the top of the screen that's the gel bridge there and there's the skin and I'm able to evaluate structures at the skin level and just below the skin without having to put direct pressure on the area that could be painful or otherwise uncomfortable to scan. And those are really core principles about ultrasound gel and how to use it in your scanning practice."
Holding the Butterfly,https://cloud.butterflynetwork.com/-/edu/lLkryirKT8OVrv97sXXFrA,Intro,Holding the Butterfly,An overview of how to properly hold the Butterfly,Adwana Clayton,5/5/2022,"So one of the basic core principles I want to review early on is how to hold the butterfly itself. Now holding it is really important even though it sounds really basic. If you think about it, in medicine we're used to holding instruments deliberately. We hold a laryngoscope with a proper grip, we hold a scalpel with a proper grip, and it's no different with butterfly. So we're going to demonstrate how to hold the probe incorrectly. So if I put the probe on and I hold the butterfly from the tail end by the cord, and hold it tentatively with my fingertips, which is how sometimes new users will approach holding the probe. You can see that I'm having a hard time even just keeping it still. Ultrasound gel is slippery. We're often scanning non-flat surfaces on patients. So there's a natural curve to my forearm here, and as a result I'm having a hard time holding the probe still. So don't hold it by the tail end, don't hold it tentatively, don't hold it like a club because it's pretty hard to get fine motor control when you're holding something like this. You want to hold it with your thumb and either middle finger or index finger or both, close to the scanning surface, close to the skin, and you want to brace your other fingers on the patient. This lets me hold the probe perfectly still, or adjust for really fine movements so I can move just millimeters at a time in whatever direction I want to obtain the image that I want. [BLANK_AUDIO]"
Activating the Butterfly,https://cloud.butterflynetwork.com/-/edu/uY9sbpwgT72qRXmfdUjUFg,Intro,Activating the Butterfly,An overview of plugging the Butterfly into your device and getting started,Adwana Clayton,5/5/2022,"Hi, I'm Mike Stone. I'm an emergency physician and a point-of-care ultrasound educator. And I'm going to introduce you to the butterfly system. We're going to talk in this series of videos around core essential functionality of the system, as well as review basic point-of-care ultrasound principles and technique. So I'm going to start off by plugging into the phone. Here I have the app already installed, and I'm going to plug in the butterfly, and it'll prompt me to launch the app, which I'm going to allow. And you can see I'm already in the scan screen and ready to start scanning. We're going to hold off on scanning for a second, and I'm just going to familiarize us with the screen we're looking at. So here we have the imaging area, the scale along the right side and centimeters to give us our depth. We have the presets button, which will take us into our presets menu, where we can choose from a number of presets, depending on the exam we want to perform. Freeze, camera button to record a CineClip, which we'll cover later. The Actions tab, which if we open, has a lot of options from labeling to modes to educational resources and teleguidance. This will change depending on what preset you're in, as different options will be relevant to that preset. We have the image reel on the top right. This keeps track of the studies that we've stored, and at this point, since we haven't started scanning, it's reading zero. That's also where you'll go into input patient demographics when you're ready to save and upload your study. And then on the top left, we have the carrot that'll take us into settings, preferences, and additional controls, as well as our image archive to review prior studies that we've saved. So that's a general overview of the scan screen, and we'll get into some scanning principles and basics next. [BLANK_AUDIO]"
Introduction to Butterfly,https://cloud.butterflynetwork.com/-/edu/P_vaLltaSPW8-_7--M2rAw,Intro,Introduction to Butterfly,An introduction to the basic functions of the Butterfly,Adwana Clayton,5/5/2022,"When I was first starting out with ultrasound, one of the things that I found really useful was to scan myself. It let me practice in a consequence-free environment where I wasn't worried about looking silly in front of a patient or causing discomfort. The two places where I found it most useful to start were the forearm where I could look at nerves, tendon, vascular structures, bone and muscle and the carotid artery where I could look at the artery itself as well as the internal jugular vein, the thyroid and surrounding structures. In the following series of videos, I'm going to be scanning myself over my forearm and walking through some core ultrasound techniques and principles as well as getting us familiar with the butterfly system. Feel free to follow along with your own system."
E-Point Septal Separation (EPSS),https://cloud.butterflynetwork.com/-/edu/UE6y1AqVQcuxUOdEk0k9ww,Cardiac,E-Point Septal Separation (EPSS),An overview of performing the E-Point Septal Separation measurement,Adwana Clayton,5/5/2022,"So we're going to show you how to obtain an E-point septal separation or EPSS measurement using the butterfly. Great, let's do it. So I'm going to go ahead and start by selecting the presets, go into cardiac, selecting that. With my indicator towards the right shoulder, I'm going to place the butterfly just to the left of sternum and do some slow circles. I call this window shopping. Perfect. So nice parisor in a long axis view. We can see the anterior mitral valve leaflet coming up and getting really close to the septum in diastole. We anticipate this is going to be a normal measurement, but one of the nice things about E-point septal separation measurements is it's a single linear measurement that gives you some insight into left ventricular contractility and systolic function. So from here, I can see you already going over into the actions tab to drop an M-mode spike or cursor. And once we get that M-mode cursor over the anterior mitral valve leaflet, we'll start to see that E and A-point of the diastolic motion of the mitral valve. And once we feel like we've got a good view of that tracing, that looks phenomenal, we'll freeze and we can measure, but in this case, we can tell that the anterior mitral valve leaflet actually comes up and hits against the septum in early diastole. So that's an E-point septal separation of zero. Anything less than seven millimeters is considered normal as a measurement. And it's important to know that there's limitations to E-point septal separation. It can't be the only thing you do to look at systolic function. People with aortic valve disease, mitral valve disease, you're not going to get accurate measurements. But it's a nice easy tool for novices to get an extra checkpoint of what the LV systolic function looks like. If we were to measure this, I would go to the Measurements tab, select Line, and then place the calipers from the septum down to the E-point, which here is less than two millimeters. Fantastic. [BLANK_AUDIO]"
